,Company Information,,,,,,,Services,,,Quality,,,,Facility,,,,,,,,,,,,,Users,,,,,,,,Upload feature - Documents,
S No,Supplier Name,addresses,website,Company phone,majorCustomers,CountriesServed,companyTurnover,industries,Process,Materials,certifications,inspectionOptions,qmsMetrics,qmsProcedures,manufacturingAndAssemblyWorkshop,warehouse,packing,logisticsTransportation,maximumProductionCapacity,averageCapacityUtilization,numHoursInShift,numShiftsInDay,numWorkingDaysPerWeek,inHouseMaterialTesting,numOperators,numEngineers,numProductionManagers,Contact Person1,Designation1,Mail id1,Phone1,Contact Person2,Designation2,Mail id2,Phone2,Company Profile ,Machine List
1,Abhi Metals,"PLOT NO.: 3957, 3958, 3975, 3976, ROAD U, BALAJI CHOWK, GIDC Phase III, GIDC Phase-2, Dared, Jamnagar, Gujarat 361004, India",https://www.abhimetals.com/,9.10288E+11,NA,NA,NA,"Aerospace,Machinery & Equipments,Steel,Automotive,Healthcare,Consumer Goods,Hardware Startups","CNC Machining,Cold Forging","CNC Machining: Plain Carbon and Low Alloy Steels,CNC Machining: Stainless Steels,CNC Machining: Aluminium Alloys,CNC Machining: Brass,CNC Machining: Titanium,CNC Machining: Mild Steel,CNC Machining: Copper,Forging: Mild Steel,Forging: Plain Carbon and Low Alloy Steels,Forging: Carbon Steel","ISO 9001,IATF 16949:2016",Manual,NA,5s,55000 sq ft,Yes,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,Himanshu,Marketing Manager,marketing@abhimetals.com,9328510667,Ayyappa,Sales Executive,ayyappa.abhimetals@gmail.com,7204899667,,
2,ACCUTECH CNC,"No 450/A, 12th Cross Rd, 4th Phase, Peenya, Bengaluru, Karnataka 560058, India",www.accutechcnc.com,9.10804E+11,NA,"INDIRECT SUPPLUIER TO GERMANY,SWEDEN,SWITZERLAND,JAPAN,USA	","3-4 CRORES/ANNUM	","Automotive,Machinery & Equipments,Hardware Startups",CNC Machining,"CNC Machining: Plain Carbon and Low Alloy Steels,CNC Machining: Stainless Steels,CNC Machining: Aluminium Alloys",ISO 9001,Manual,NA,Yes,NA,Yes,Yes,Yes,20 Tonnes/Month,85,8,3,6,NA,15,2,Yes,KUMAR,"	MD",kumarjayappa@yahoo.co.in,9845999103,MURALIDHARA,"Customer Success Manager	",accutechvmc@gmail.com,,,
3,ALPHA PRECISION INC.,"57, 2, Magadi Main Rd, Herohalli, Kottigepalya, Bengaluru, Karnataka 560023, India","www.alphaprecisioninc.co.in	",9.10802E+11,NA,"INDIA and SINGAPORE	",1.7Cr,"Aerospace,Automotive,Machinery & Equipments,Hardware Startups",CNC Machining,"CNC Machining: Plain Carbon and Low Alloy Steels,CNC Machining: Aluminium Alloys,CNC Machining: Stainless Steels,CNC Machining: Brass,CNC Machining: Copper,CNC Machining: Mild Steel",ISO 9001,Manual,NA,Yes,"2000 Sq ft	",NA,Yes,Yes,15-20,80,8,Yes,6,NA,NA,NA,,RAJANNA,"	MD",alphaprecisioninc@gmail.com,"	9342550584",,,,,,
4,Anjali T Precision,"3M Industrial Estate, Gat No. 1652, Dehu - Alandi Rd, Patilnagar, Chikhali, Pimpri-Chinchwad, Maharashtra 412114, India",http://www.anjalitprecision.com/,9.10923E+11,"Oerlikon Fairfield, FCA, TATA, MAN, Kendrion, Rieter, HYVA ","India, USA, Germany, etc.",NA,"Automotive,Aerospace,Machinery & Equipments,Consumer Goods,Oil & Gas,Defense",CNC Machining,"CNC Machining: Plain Carbon and Low Alloy Steels,CNC Machining: Stainless Steels,CNC Machining: Aluminium Alloys,CNC Machining: Brass,CNC Machining: Mild Steel","ISO 9001,IATF 16949:2016","CMM,Manual",NA,Yes,NA,Yes,Yes,Yes,NA,NA,NA,NA,6,NA,NA,NA,NA,Dhanaji,"	Sales & Marketing","	dhanaji@anjalitprecision.com",9225634833,Amit,New Product Development,atp@anjalitprecision.com,9588440770,,
5,Dattaguru Industries Pvt Ltd,"Sharma Industrial Estate, Walbhat Rd, Jay Prakash Nagar, Goregaon, Mumbai, Maharashtra 400063, India",www.dattaind.com,9.10223E+11,NA,"Dubai, Italy & India",5cr,"Automotive,Machinery & Equipments,Consumer Goods","CNC Machining,Others,Cold Forging","CNC Machining: Plain Carbon and Low Alloy Steels,CNC Machining: Stainless Steels,CNC Machining: Aluminium Alloys,CNC Machining: Brass,CNC Machining: Mild Steel,CNC Machining: Copper,Forging: Plain Carbon and Low Alloy Steels,Forging: Mild Steel,Forging: Carbon Steel",ISO 9001,Manual,"Customer Complaints and Returns, SPC, Supplier Quality Metrics",Kaizen and 5s,4300 sq ft,Yes,Yes,Yes,50,65,8,Yes,6,NA,36,12,3,Pravin,"	Technical Manager",dattaind@gmail.com,8291104102,,,,,,
6,Garuthmann Aerospace Private Limited,"123/P4, Nettigere, South Thaluk, Village, Uttarahalli Hobli, Bengaluru, Karnataka 560082, India",http://garuthmannaerospace.com/,9.18026E+11,TTK,India,2 LPM,"Automotive,Aerospace,Machinery & Equipments,Healthcare,Consumer Goods,Hardware Startups","CNC Machining,Laser Cutting,Sheet Metal Stamping,Sheet Metal Bending,Sheet Metal Fabrication,Post Processing","CNC Machining: Plain Carbon and Low Alloy Steels,CNC Machining: Stainless Steels,CNC Machining: Aluminium Alloys,CNC Machining: Mild Steel","ISO 9001,AS 9100",Manual,NA,Yes,7000 sq ft,NA,Yes,Yes,NA,85,8.5,Yes,6,NA,3,4,Yes,Sabarish,MD,"	sabarish@garuthmannaerospace.com",9959977319,,,,,,
7,iMech Engineering Solutions,"18 kalpatru estate 380024, Anil Starch Mill Rd, D Colony, Ahmedabad, Gujarat 380038, India",https://business.google.com/website/imech-engineering-solutions,9.19824E+11,NA,India,2cr,"Aerospace,Defense,Machinery & Equipments,Automotive,Consumer Goods,Hardware Startups,Oil & Gas","CNC Machining,Others","CNC Machining: Plain Carbon and Low Alloy Steels,CNC Machining: Stainless Steels,CNC Machining: Aluminium Alloys,CNC Machining: Mild Steel",ISO 9001,Manual,NA,Yes,5000sq ft,Yes,Yes,Yes,25,80,12,Yes,6,NA,NA,NA,NA,Jignesh,MD,"	iesfabrication@gmail.com",9662518239,,,,,,
8,JAY ENGINEERING WORKS,"422, Godrej Rd, Sidco Industrial Estate, Ambattur, Chennai, Tamil Nadu 600098, India",http://www.cncmachining.in/,9.1984E+11,Delphi TVS Diesel Systems Ltd  Super Auto Forge(TRW parts)  SFL Ltd.  LGB Ltd. (Bajaj)  Norgren IMI Ltd,India,NA,"Automotive,Aerospace,Defense,Machinery & Equipments,Consumer Goods,Hardware Startups,Steel,Oil & Gas,Robotics",CNC Machining,"CNC Machining: Stainless Steels,CNC Machining: Aluminium Alloys,CNC Machining: Plain Carbon and Low Alloy Steels,CNC Machining: Mild Steel",ISO/TS 16949,Manual,NA,NA,46500 sq ft,Yes,Yes,Yes,NA,70,8,3,6,NA,NA,NA,NA,GANESH,"	MD",contactjew@gmail.com,9840026499,Tapas,NPD Associate,,7001496698,,
9,M-TEC INDUSTRIES,"Attibele, Karnataka 562107, India",WWW.M-TECIND.COM,9.19886E+11,"DURACARB - Cutting Tools, STRUB - Industrial Lubricants","WITHIN INDIA(IEC REGISTERD)	",1.5Cr,"Automotive,Aerospace,Defense,Machinery & Equipments,Steel,Consumer Goods,Hardware Startups",CNC Machining,"CNC Machining: Aluminium Alloys,CNC Machining: Plain Carbon and Low Alloy Steels,CNC Machining: Stainless Steels,CNC Machining: Brass,CNC Machining: Mild Steel,CNC Machining: Copper",ISO 9001,Manual,NA,Yes,4000 sq ft,NA,Yes,Yes,10,60,8,3,6,NA,15,3,Yes,DINESH,"	MD",dgmtecind@gmail.com,7619595969,,,,,,
